key,value,ar,zh,ja,pt,ru,es,th,tr,vi,in
abstract,Abstract,نبذة مختصرة,抽象,概要,Resumo,Аннотация,Resumen,นามธรรม,Öz,trừu tượng,Abstrak
relaxing,Relaxing,الاسترخاء,放松的,リラックス,Relaxante,Расслабляющий,Relajante,ผ่อนคลาย,Rahatlatıcı,Thư giãn,Santai
food,Food,طعام,餐饮,食物,Comida,питание,Comida,อาหาร,Gıda,Món ăn,Makanan
neon,Neon,نيون,氖,ネオン,néon,неон,neón,ธาตุนีอ็อน,neon,neon,neon
colorful,Colorful,زاهى الألوان,七彩,カラフル,Colorido,красочный,Vistoso,มีสีสัน,Renkli,Đầy màu sắc,Penuh warna
funny,Funny,مضحك,滑稽,おかしい,Engraçada,Веселая,Graciosa,ตลก,Komik,Buồn cười,Lucu
halloween,Halloween,عيد الرعب,万圣节,ハロウィン,dia das Bruxas,Хэллоуин,Víspera de Todos los Santos,วันฮาโลวีน,Cadılar Bayramı,Halloween,Halloween
party,Party,حفل,派对,パーティー,Festa,Партия,Fiesta,พรรค,Parti,Buổi tiệc,Pesta
pop,Pop,موسيقى البوب,流行音樂,ポップ,Pop,Поп,Popular,ป๊อปอัพ,Pop,Nhạc pop,Pop
top,Top,أعلى,最佳,上,Topo,верхний,Parte superior,ด้านบน,Top,Hàng đầu,Teratas
animals,Animals,الحيوانات,动物,動物,Animais,животные,Animales,สัตว์,Hayvanlar,Động vật,Binatang
artistic,Artistic,فني,艺术的,芸術的,Artístico,артистический,Artístico,ศิลปะ,Artistik,Thuộc về nghệ thuật,Artistik
celebrities,Celebrities,مشاهير,名流,セレブ,Celebridades,Знаменитости,Famosos,คนดัง,Ünlüler,Người nổi tiếng,Selebriti
city,City,مدينة,市,市,Cidade,город,Ciudad,เมือง,Kent,Thành phố,Kota
funny,Funny,مضحك,滑稽,おかしい,Engraçado,Веселая,Gracioso,ตลก,Komik,Buồn cười,Lucu
game,Game,لعبه,游戏,ゲーム,jogos,Игра,Juego,เกม,Oyun,Trò chơi,Permainan
mountain,Mountain,الجبل,山,山,Montanha,гора,Montaña,ภูเขา,Dağ,núi,Gunung
movies,Movies,أفلام,电影,映画,Filmes,Фильмы,Películas,ภาพยนตร์,Filmler,Phim,Film
nature,Nature,طبيعة,性质,自然,Natureza,Природа,Naturaleza,ธรรมชาติ,Doğa,Thiên nhiên,Alam
sea,Sea,البحر,海,海,Mar,Море,Mar,ทะเล,Deniz,Biển,Laut
space,Space,الفراغ,空间,スペース,Espaço,Космос,Espacio,ช่องว่าง,Uzay,Không gian,Ruang
sports,Sports,رياضات,体育,スポーツ,Esportes,Виды спорта,Deportes,กีฬา,Spor Dalları,Các môn thể thao,Olah raga
vintage,Vintage,عتيق,年份酒,ビンテージ,Vintage,марочный,Clásico,เหล้าองุ่น,Nostaljik,Cổ điển,Vintage
